TableName;ColumnName;DataType
dimaccount;AccountKey;int
dimaccount;ParentAccountKey;int
dimaccount;AccountCodeAlternateKey;int
dimaccount;ParentAccountCodeAlternateKey;int
dimaccount;AccountDescription;varchar
dimaccount;AccountType;varchar
dimaccount;Operator;varchar
dimaccount;CustomMembers;varchar
dimaccount;ValueType;varchar
dimaccount;CustomMemberOptions;varchar
dimcurrency;CurrencyKey;int
dimcurrency;CurrencyAlternateKey;varchar
dimcurrency;CurrencyName;varchar
dimcustomer;CustomerKey;int
dimcustomer;GeographyKey;int
dimcustomer;CustomerAlternateKey;varchar
dimcustomer;Title;varchar
dimcustomer;FirstName;varchar
dimcustomer;MiddleName;varchar
dimcustomer;LastName;varchar
dimcustomer;NameStyle;bit
dimcustomer;BirthDate;date
dimcustomer;MaritalStatus;varchar
dimcustomer;Suffix;varchar
dimcustomer;Gender;varchar
dimcustomer;EmailAddress;varchar
dimcustomer;YearlyIncome;decimal
dimcustomer;TotalChildren;smallint
dimcustomer;NumberChildrenAtHome;smallint
dimcustomer;EnglishEducation;varchar
dimcustomer;SpanishEducation;varchar
dimcustomer;FrenchEducation;varchar
dimcustomer;EnglishOccupation;varchar
dimcustomer;SpanishOccupation;varchar
dimcustomer;FrenchOccupation;varchar
dimcustomer;HouseOwnerFlag;varchar
dimcustomer;NumberCarsOwned;smallint
dimcustomer;AddressLine1;varchar
dimcustomer;AddressLine2;varchar
dimcustomer;Phone;varchar
dimcustomer;DateFirstPurchase;date
dimcustomer;CommuteDistance;varchar
dimdate;DateKey;int
dimdate;FullDateAlternateKey;date
dimdate;DayNumberOfWeek;smallint
dimdate;EnglishDayNameOfWeek;varchar
dimdate;SpanishDayNameOfWeek;varchar
dimdate;FrenchDayNameOfWeek;varchar
dimdate;DayNumberOfMonth;smallint
dimdate;DayNumberOfYear;smallint
dimdate;WeekNumberOfYear;smallint
dimdate;EnglishMonthName;varchar
dimdate;SpanishMonthName;varchar
dimdate;FrenchMonthName;varchar
dimdate;MonthNumberOfYear;smallint
dimdate;CalendarQuarter;smallint
dimdate;CalendarYear;smallint
dimdate;CalendarSemester;smallint
dimdate;FiscalQuarter;smallint
dimdate;FiscalYear;smallint
dimdate;FiscalSemester;smallint
dimdepartmentgroup;DepartmentGroupKey;int
dimdepartmentgroup;ParentDepartmentGroupKey;int
dimdepartmentgroup;DepartmentGroupName;varchar
dimemployee;EmployeeKey;int
dimemployee;ParentEmployeeKey;int
dimemployee;EmployeeNationalIDAlternateKey;varchar
dimemployee;ParentEmployeeNationalIDAlternateKey;varchar
dimemployee;SalesTerritoryKey;int
dimemployee;FirstName;varchar
dimemployee;LastName;varchar
dimemployee;MiddleName;varchar
dimemployee;NameStyle;bit
